Run
Judge
Topic Num,TweetID,Tweet
MB001,34804738243428353," why is Abbott announcing budget cuts?? He is not the government. What's tough about a set of imaginary cuts on someone else's budget",
MB001,34792710141378560," #top #stories Fonseka rally planned for S Lanka (BBC): Share With Friends: | | World news - Top Stories St... http://feedzil.la/i2ORH0","=HYPERLINK(""http://feedzil.la/i2ORH0"",""LINK"")"
MB001,34789534390550528," A Brutus 3 cuts it to 5...",
MB001,34788857404719106," There are no short cuts to any place worth going.",
MB001,34778255236005888," OTHER - Amerigas- Biggest crooks in the world.: I ended service with Amerigas in October of 2010 because w... http://tinyurl.com/4o6835m","=HYPERLINK(""http://tinyurl.com/4o6835m"",""LINK"")"
MB001,34764342079524864," So #UnderCoverofDarkness will be played as world exclusive on @zanelowe's show on BBC Radio 1 Wednesday between 7pm-10pm! (via @shesfixing)",
MB001,34757307527069697," #vinb Are these cuts in salaries for the 31st dail or is it for future administations",
MB001,34757090895462401," Staff meeting today at Chick-Fil-A.... delicious!!",
MB001,34756451956166656," @iamwill @TMobile I never have service when I go into a stadium, or large parade, or Disney World...and i have T-mobile",
MB001,34746829945962496," Dogs have owners. Cats have staff. #smile",
MB001,34745228061577216," Sometimes, these cuts are deeper than they seem.",
MB001,34740078030880768," BBC News - Dutch MP Geert Wilders back in court over 'hate speech' http://www.bbc.co.uk/news/world-europe-12380167 Just TERMINATE this guy..","=HYPERLINK(""http://www.bbc.co.uk/news/world-europe-12380167"",""LINK"")"
MB001,34730882833063936," First meeting reply restructuring of school staff today. Meeting two tomorrow. We find out if we still have a job. 30% cuts fingers crossed.",
MB001,34728639425683457," Watching Peter Green: Man of the World on BBC iPlayer. Excellent prog, excellent guitarist.",
MB001,34706368841654272," BBC News - Egypt unrest: Public-sector pay rise but protests go on http://www.bbc.co.uk/news/world-middle-east-12387181","=HYPERLINK(""http://www.bbc.co.uk/news/world-middle-east-12387181"",""LINK"")"
MB001,34697869604687873," Staff Meeting today.",
MB001,34696531139371008," BBC News - South Sudan backs independence - results http://www.bbc.co.uk/news/world-africa-12379431","=HYPERLINK(""http://www.bbc.co.uk/news/world-africa-12379431"",""LINK"")"
MB001,34692588061593600," BBC News - Cuts 'destroying big society' concept, says CSV head http://www.bbc.co.uk/news/uk-politics-12378974","=HYPERLINK(""http://www.bbc.co.uk/news/uk-politics-12378974"",""LINK"")"
MB001,34677430811631617," @JimIrsay you need a new coaching staff .",
MB001,34676047827959808," we provide top-notch service to clients from over 200 countries internationally with our staff of over 400 employees... http://bit.ly/TwtHG","=HYPERLINK(""http://bit.ly/TwtHG"",""LINK"")"
MB001,34665469260599296," News: Job checks for Cornwall's senior nursing staff - BBC News http://ow.ly/1bdJgp","=HYPERLINK(""http://ow.ly/1bdJgp"",""LINK"")"
MB001,34659485100277760," RT @Jamesamperi: Real time customer service ratings - interesting effects on staff http://bit.ly/eZIbko (thanks Martine)","=HYPERLINK(""http://bit.ly/eZIbko"",""LINK"")"
MB001,34646326314541058," College Tickets: UCLA staff not Seto http://collegetickets.biz/ucla-staff-not-seto/","=HYPERLINK(""http://collegetickets.biz/ucla-staff-not-seto/"",""LINK"")"
MB001,34642403449114624," High socks....low cuts",
MB001,34637744198123521," RT @annieblogs Favorite quote from BBC: "Only in America can you beat the rest of America and be called the World Champions." - Yep.",
MB001,34623437011951617," Learn all about the upcoming BBC comedy cuts in the new blog. Also, I say rude things about Harry Enfield. http://tinyurl.com/6kctjtl","=HYPERLINK(""http://tinyurl.com/6kctjtl"",""LINK"")"
MB001,34623024279982080," Favorite quote from BBC: "Only in America can you beat the rest of America and be called the World Champions." #touche #goodpoint",
MB001,34613856399523840," No service in this bxtch",
MB001,34611982585823232," its laggy. i'll watch cuts ltr. #KTR",
MB001,34607321665507329," �?�れ�?�最終�?論�?��?�る�?��?��?�？ BBC Sport - Football - Sepp Blatter hints at 2022 summer World Cup in Qatar http://ow.ly/1s1sWw","=HYPERLINK(""http://ow.ly/1s1sWw"",""LINK"")"
MB001,34603959033270272," BBC Cymru: Gwynt: Swyddfa llywodraeth why not cau: Staff why not cael eu hanfon adre wrth i adeilad newydd £20 miliwn Llyw... http://bbc.in/fR3cRH","=HYPERLINK(""http://bbc.in/fR3cRH"",""LINK"")"
MB001,34603571349557248," LOL! RT @annieblogs: Favorite quote from BBC: "Only in America can you beat the rest of America and be called the World Champions." #touche",
MB001,34601928507785216," @chrisquinn3 think it is live on BBC website",
MB001,34601678594375680," @lizzyrobins Must be the excellent placement staff eh?",
MB001,34600937918038016," @BolaMosuro a huge blow....i dare them if they touch the BBC African service team...",
MB001,34587107896852480," @SarahAmro1 bbc 1 it was live :)",
MB001,34579556178329600," @the_kennel BBC reject?",
MB001,34577306567581697," #top #stories Funding to target 'music divide' (BBC): Share With Friends: | | World news - Top Stories New... http://feedzil.la/fN7q0c","=HYPERLINK(""http://feedzil.la/fN7q0c"",""LINK"")"
MB001,34565573841133568," RT @HeadwayUK: Speech and Language Therapy cuts: http://bit.ly/gciEpF @TheStrokeAssoc @TheBMA #ukpolitics #tories #cuts","=HYPERLINK(""http://bit.ly/gciEpF"",""LINK"")"
MB001,34553453812387840," BBC exodus: Huge bill for moving shows and staff around UK [pic] http://ff.im/xuW5X","=HYPERLINK(""http://ff.im/xuW5X"",""LINK"")"
MB001,34553262346608640," #BIgsociety. Big cuts, big incompetence, big mistakes.",
MB001,34548402616274944," Tips on getting good night's sleep in Health Check on World Service today. The 15 minute rule. After that time get up and do something else.",
MB001,34544817887252480," BBC News - Belgian Stefaan Engels completes record 365th marathon http://www.bbc.co.uk/news/world-europe-12375646 #fb","=HYPERLINK(""http://www.bbc.co.uk/news/world-europe-12375646"",""LINK"")"
MB001,34530359324450816," RT @AlanBullion BBC News - Cuts 'destroying big society' concept, says CSV head http://www.bbc.co.uk/news/uk-politics-12378974","=HYPERLINK(""http://www.bbc.co.uk/news/uk-politics-12378974"",""LINK"")"
MB001,34525681698209793," Favorite quote from BBC: "Only in America can you beat the rest of America and be called the World Champions." #touche #goodpoint",
MB001,34518693245353984," BBC News - Cuts 'destroying big society' concept, says CSV head http://www.bbc.co.uk/news/uk-politics-12378974","=HYPERLINK(""http://www.bbc.co.uk/news/uk-politics-12378974"",""LINK"")"
MB001,34514609985556480," BBC News - Cuts 'destroying big society' concept, says CSV head http://ow.ly/3RqPv #bigsociety","=HYPERLINK(""http://ow.ly/3RqPv"",""LINK"")"
MB001,34512565178613760," @lbc973 The BBC staff will have to padlock all hub caps to their cars. Will shell suits be compulsory dress? #bbc",
MB001,34488316711673856," RT @annieblogs Favorite quote from BBC: "Only in America can you beat the rest of America and be called the World Champions. #touche #fb",
MB001,34481845777207296," Are your staff meetings productive?",
MB001,34481534731816960," RT @annieblogs: Favorite quote from BBC: "Only in America can you beat the rest of America and be called the World Champions." #goodpoint�?",
MB001,34470257808637952," Mauna Loa BBC News",
MB001,34459552040620034," room service,",
MB001,34456915450933248," administrator staff take turns taking their meals",
MB001,34456614933106689," INVESTIGATION [#milwaukeepolice]: 110371682, 02/06/2011 08:50:55 PM, and OLD WORLD THIRD Stop That / W JUNEAU AV,MKE, 1, Service in Progress",
MB001,34454081154064384," And also...TV cuts shit out *changes channel*",
MB001,34448730182651904," Electricity agency staff cuts spark demos http://bit.ly/hv9Vsd","=HYPERLINK(""http://bit.ly/hv9Vsd"",""LINK"")"
MB001,34437478186221568," @Danny_DeVito Are watching on the BBC?",
MB001,34429878568890368," BBC News - Super Bowl: Christina Aguilera fluffs US national anthem http://www.bbc.co.uk/news/world-us-canada-12378790","=HYPERLINK(""http://www.bbc.co.uk/news/world-us-canada-12378790"",""LINK"")"
MB001,34429433855082496," @BenXFD you watching online? or bbc?",
MB001,34420772445356032," "bring back prince"...and his audio staff",
MB001,34418342164955136," too new staff,,uhuuy",
MB001,34409479747403776," Transit Updates: A year after CTA service cuts and layoffs, rehired workers help weather the blizzard http://ow.ly/1bd4oa","=HYPERLINK(""http://ow.ly/1bd4oa"",""LINK"")"
MB001,34403514197221377," The Superbowl is on the BBC this year? Seriously? THE BBC?!",
MB001,34401880670994432," Doritos going HAM on these commercials. They whole staff on pills",
MB001,34396059736211457," @Guymowbray @maltingsyork Wot? No chauffeur, Guy? I suddenly feel marginaly better about the imminent demise of the World Service.",
MB001,34393176320126976," But BBC don't have adverts?",
MB001,34389878783348736," Cuts at the BBC in full force. They're not even in the the stadium.",
MB001,34387751537217536," BBC News - Berlusconi critics clash with police after calls to resign http://www.bbc.co.uk/news/world-europe-12377810","=HYPERLINK(""http://www.bbc.co.uk/news/world-europe-12377810"",""LINK"")"
MB001,34387473396285440," @GeostarGS Fucking BBC you idiot",
MB001,34386256167174145," @W92Live BBC",
MB001,34384798248083458," @MissAliceBabyy my staff, what are you doing",
MB001,34361811994148864," Britain still a world power despite cuts: Cameron (AFP): AFP - Prime Minister David Cameron rejected on Sun... http://bit.ly/hgz3Wj","=HYPERLINK(""http://bit.ly/hgz3Wj"",""LINK"")"
MB001,34360616298741760," RT @JanC60: RT @aprylmarie: Have staff that would allow/approve of tee shirts for a memorial service. #ThingsReaganWouldntDo",
MB001,34355020711337984," 'Scores' of cuts in Obama budget: President Obama's upcoming budget will propose cuts to "scores" of federal spending programs, accor...",
MB001,34352312872869888," At Meadowbank wharf. Commuters concerned about ferry privatisation and service cuts under NSW Libs #nswvotes",
MB001,34350601898819585," Calling my staff for work updates.",
MB001,34340808291254272," 'Scores' of cuts in Obama budget: President Obama's upcoming budget will propose cuts to "scores" of federal spe... http://bit.ly/e51WEO","=HYPERLINK(""http://bit.ly/e51WEO"",""LINK"")"
MB001,34326030139260928," One of the greatest guitarists in the world died :( RT @BreakingNews: Thin Lizzy guitarist Gary Moore dies - BBC http://bbc.in/i8yP5p","=HYPERLINK(""http://bbc.in/i8yP5p"",""LINK"")"
MB001,34322775090925568," sometimes these cuts are so much deeper then they seem",
MB001,34319762636935168," Bytchs with short cuts have non-existent walls",
MB001,34303174483382273," BBC Devon News: Dismay over cuts to abuse funding: A charity which helps victims of domestic abuse says it will ... http://bbc.in/fSkkCw","=HYPERLINK(""http://bbc.in/fSkkCw"",""LINK"")"
MB001,34297209319063552," BBC News - Egypt protests: Opposition wary after Suleiman talks http://www.bbc.co.uk/news/world-middle-east-12377179","=HYPERLINK(""http://www.bbc.co.uk/news/world-middle-east-12377179"",""LINK"")"
MB001,34292588471123968," BBC News - Indian navy seizes pirates' Indian Ocean mothership http://www.bbc.co.uk/news/world-south-asia-12376695","=HYPERLINK(""http://www.bbc.co.uk/news/world-south-asia-12376695"",""LINK"")"
MB001,34276169654214656," @xCountryStrong WELL DUHH *cuts self*",
MB001,34264130017824769," Back after a week off. Join me on BBC World today. We're talking Torres, Kubica nightmare, and some event called the Superbowl...",
MB001,34255255747170304," Thinks the staff in Waitrose @CrouchEnd leave much to be desired",
MB001,34242302733975552," @shanerichmond Tuesday's Americana episode on World Service had Iv with Reagan's son on book about his dad. Interesting viewpoint on admin.",
MB001,34240297676316672," BBC News - Belgian Stefaan Engels completes record 365th marathon http://www.bbc.co.uk/news/world-europe-12375646","=HYPERLINK(""http://www.bbc.co.uk/news/world-europe-12375646"",""LINK"")"
MB001,34235608159223808," Come on the swans! loving the bbc #scfc",
MB001,34234739623731200," -( Cuts a confused look between @_lilymarieevans and @spadfootblack )- ...Certainly..",
MB001,34227948139581440," Carousel gave us a complimentary birthday chocolate cake tgt with a song sang by the staff. Thumbs up service!! Me likey.",
MB001,34216253279178752," The cuts to police officer numbers are ideological so that this govt can sell-off parts of the service to private companies’ #murnaghan",
MB001,34192568942071808," BBC News - Sumo tournament cancelled amid match-fixing scandal‎ http://www.bbc.co.uk/news/world-asia-pacific-12375649 大相撲春場所中止","=HYPERLINK(""http://www.bbc.co.uk/news/world-asia-pacific-12375649"",""LINK"")"
MB001,34192301035102208," IRS to hold open house Saturday in Wichita: By Eagle staff WICHITA — The Internal Revenue Service Tax... http://bit.ly/gmG3Rp - FAIRTAX!","=HYPERLINK(""http://bit.ly/gmG3Rp"",""LINK"")"
MB001,34181377314406400," BBC - woman dies after caning http://www.bbc.co.uk/news/world-south-asia-12042343..enforcing any law without wisdom leads nowhere..sorry!","=HYPERLINK(""http://www.bbc.co.uk/news/world-south-asia-12042343..enforcing"",""LINK"")"
MB001,34172086045904896," @brit_ish yeah Haha. Well I figured I would start with the news feeds BBC and CNN etc. See whats happening in the world right now.",
MB001,34141526510534656," [torrent] BBC Natural World - 2011 (english - PDTV): Natural World Is The Longest-Running Nature Documentary Ser... http://bit.ly/eBwwC9","=HYPERLINK(""http://bit.ly/eBwwC9"",""LINK"")"
MB001,34129273514102784," splinters and paper cuts #AreTheWorst",
MB001,34106307837435904," "200 Countries, 200 Years, for Minutes" - fascinating video! http://www.gapminder.org/videos/200-years-that-changed-the-world-bbc/","=HYPERLINK(""http://www.gapminder.org/videos/200-years-that-changed-the-world-bbc/"",""LINK"")"
MB001,34106070209138689," DTN World News: Cameron rules out major tax cuts: "Significant" tax cuts will be ruled out while the government ... http://bbc.in/hqbytO","=HYPERLINK(""http://bbc.in/hqbytO"",""LINK"")"
MB001,34098978056306688," paper cuts #aretheworst",
MB001,34096595091980288," PAPER CUTS #aretheworst ouch",
MB001,34090639834480642," Hostel cuts 'risk public safety': Cuts and privatisation plans for probation hostels will "compromise public safety and increase the ...",
MB001,34088246937915393," The world",
MB001,34084593208393728," Gallagher thanks the hotel staff. Good MC",
MB001,34066986103218176," BBC News - Free diabetes and blood pressure drugs for Brazilians http://www.bbc.co.uk/news/world-latin-america-12361366","=HYPERLINK(""http://www.bbc.co.uk/news/world-latin-america-12361366"",""LINK"")"
MB001,34059449140248577," how to get rid of shaving cuts - http://www.howtogetridofstuff.com/beauty/how-to-get-rid-of-shaving-cuts/","=HYPERLINK(""http://www.howtogetridofstuff.com/beauty/how-to-get-rid-of-shaving-cuts/"",""LINK"")"
MB001,34042379640115200," #Superbowl on the BBC tomorrow. Come on the #Steelers :)",
MB001,34041139824836608," @WIBW Staff are choosing to donate tips as well!",
MB001,34033439963357184," There's actual bbc newsreaders at this party",
MB001,34013652709281792," Coaching staff need some refreshing.",
MB001,34005858346209280," 22:05 World Briefing: BBC News reports from around the world. http://bbc.in/frwhto","=HYPERLINK(""http://bbc.in/frwhto"",""LINK"")"
MB001,33983560100614145," @sspcampsie @neilwigg it's the cuts in reverse #priceofbeerandcrisps",
MB001,33976236870991872," England's Eoin Morgan may miss World Cup through injury - BBC News http://bit.ly/fVNMkm","=HYPERLINK(""http://bit.ly/fVNMkm"",""LINK"")"
MB001,33960962084052992," Super-Bowl Sunday !!!!! Spend it with the awesome staff @bjslasvegas !",
MB001,33935246105772032," BBC News - Iraqi hopes and fears for government http://www.bbc.co.uk/news/world-middle-east-11740780","=HYPERLINK(""http://www.bbc.co.uk/news/world-middle-east-11740780"",""LINK"")"
MB001,33933902028480514," BBC News - New Start treaty: Obama signs US-Russia nuclear papers http://www.bbc.co.uk/news/world-us-canada-12348780","=HYPERLINK(""http://www.bbc.co.uk/news/world-us-canada-12348780"",""LINK"")"
MB001,33928899893133312," News: Protests at county's library cuts: Protests against cuts to services take place at Nottinghamshire's... http://tinyurl.com/4dtbgdz","=HYPERLINK(""http://tinyurl.com/4dtbgdz"",""LINK"")"
MB001,33925391039070208," BBC News - Mass protest in Serbian capital to demand early polls http://www.bbc.co.uk/news/world-europe-12373901","=HYPERLINK(""http://www.bbc.co.uk/news/world-europe-12373901"",""LINK"")"
MB001,33925179675516928," The biggest threat is a professional library service. Local enthusiasts determined to keep library open, but Council won't pay for staff.",
MB001,33915128260853761," BBC News - At last - an explanation for 'bunga bunga' http://www.bbc.co.uk/news/world-europe-12325796 hmmm","=HYPERLINK(""http://www.bbc.co.uk/news/world-europe-12325796"",""LINK"")"
MB001,33914827239854081," Why are BBC HD not showing #6nations ?",
MB001,33905587041476609," @zzahya116 you mentioned staff of gepp. Gepp is who?@_@",
MB001,33896626212839425," BBC News - Egypt unrest: Mubarak moves to restart economy http://www.bbc.co.uk/news/world-us-canada-12372397 #EUforeignpolicy","=HYPERLINK(""http://www.bbc.co.uk/news/world-us-canada-12372397"",""LINK"")"
MB001,33878396152840192," Closure Of BBC Radio Service: Information Era Tragedy - Eurasia Review: OutlookClosure Of BBC Radio Service: Inf... http://bit.ly/gjPROA","=HYPERLINK(""http://bit.ly/gjPROA"",""LINK"")"
MB001,33859205261692928," @kisoup *cuts a slice of cake * no its not yours",
MB001,33850298850082818," Watching BBC Knowledge",
MB001,33835892271484928," will cuts to police service cut corruption down?or leave us w JUST the lying police persons abusing power we entrust them with..bloody hell",
MB001,33831740283957248," BBC News - Egypt unrest: Mubarak moves to restart economy http://www.bbc.co.uk/news/world-us-canada-12372397","=HYPERLINK(""http://www.bbc.co.uk/news/world-us-canada-12372397"",""LINK"")"
MB001,33823403328671744," World Service Cuts: Why We Need the BBC http://bit.ly/fhLqaS","=HYPERLINK(""http://bit.ly/fhLqaS"",""LINK"")"
MB001,33793174363185152," ♫ The Light - by Common #bbc #radio1xtra",
MB001,33786749494759424," During the Net blackout, Egyptians listened to the BBC via shortwave radio. Not after the Gov. cuts the World Service. http://goo.gl/5yWYT","=HYPERLINK(""http://goo.gl/5yWYT"",""LINK"")"
MB001,33753820710305792," @beenasarwar Watch international news channels including Al Jazeera, BBC World news on http://www.livestation.com","=HYPERLINK(""http://www.livestation.com"",""LINK"")"
MB001,33732281487073280," Not in service",
MB001,33709949297242112," BBC News - Cuba charges US citizen Alan Gross with spying http://www.bbc.co.uk/news/world-latin-america-12370720","=HYPERLINK(""http://www.bbc.co.uk/news/world-latin-america-12370720"",""LINK"")"
MB001,33700830561435648," @RainsGenVine Open a world of online paying projects to your readers using this awesome service - http://proj.li/XpWCn/pw Best regards.","=HYPERLINK(""http://proj.li/XpWCn/pw"",""LINK"")"
MB001,33692001694126080," Okeee hehe RT @khrnss: @annisapuspaaa fllwd cuts",
MB001,33672998263197696," @BroganHawkins what WAS ON BBC 1!!!",
MB001,33664952870903808," @xdaydreamer the wanted on BBC 1",
MB001,33661757633331201," Tax cuts and spending cuts worked in the 1920s and the 1990s; they should work now.",
MB001,33660405209374720," I'm at Smooth Cuts http://4sq.com/gDdtYb","=HYPERLINK(""http://4sq.com/gDdtYb"",""LINK"")"
MB001,33651740842659841," [BBC World News] Burma's ex-PM named new president: Burma's parliament has named former general and outgoing Pri... http://bbc.in/egXuP7","=HYPERLINK(""http://bbc.in/egXuP7"",""LINK"")"
MB001,33637126058807297," Something light for the weekend -- BBC News - Malawi row over whether new law bans farting http://www.bbc.co.uk/news/world-africa-12363852","=HYPERLINK(""http://www.bbc.co.uk/news/world-africa-12363852"",""LINK"")"
MB001,33636127231442945," The mexicans are grumpys with BBC D:",
MB001,33634329997348864," RT @BBC_WNA: #FF BBC staff tweeting about #Egypt: From Cairo @BBCLyseDoucet, in don't care @BBCKimGhattas, at the UN @BBCBarbaraPlett",
MB001,33631760113733632," Oldham Council discussion on budget cuts transmitted by BBC Radio 4. http://tinyurl.com/6kz6atf","=HYPERLINK(""http://tinyurl.com/6kz6atf"",""LINK"")"
MB001,33623445405179905," Lip service & room service.",
MB001,33622172874317824," Brian Moore on the BBC hilarious! #impartial",
MB001,33615275467214848," Dems warn of shutdown.Republicans Propose Spending Cuts.",
MB001,33612222001319936," @Cliff_Lucky7 Welcome Staff!!",
MB001,33607421775585282," Our engineering staff is working to fix the problem",
MB001,33603631739572224," staff meeting=success! #sorw",
MB001,33602042350010368," College cuts could cost 37 posts (BBC) http://feedzil.la/hW91lM","=HYPERLINK(""http://feedzil.la/hW91lM"",""LINK"")"
MB001,33601326919335936," Yeahhhhhh! BBC is on ready :D",
MB001,33598202879938563," http://bit.ly/htG5WZ (Former Bush Staff","=HYPERLINK(""http://bit.ly/htG5WZ"",""LINK"")"
MB001,33597457036345344," Ruislip on BBC news",
MB001,33591949285916672," Who is The Most Interesting Man in the World?: I still get a kick out of those television commercials for denial of service Equis feat... http://bit.ly/eQpPi5","=HYPERLINK(""http://bit.ly/eQpPi5"",""LINK"")"
MB001,33587968031592448," OUTSOURCING: Staff Leasing Basics http://bit.ly/aeaMzE","=HYPERLINK(""http://bit.ly/aeaMzE"",""LINK"")"
MB001,33584653612875776," Cuts to Forest Service are too deep http://goo.gl/Y96wN #BC "94 per cent of because is Crown or public land" “war in the woods�? #eco #cndpoli","=HYPERLINK(""http://goo.gl/Y96wN"",""LINK"")"
MB001,33583294750654464," BBC News - Malawi row over whether new law bans farting http://www.bbc.co.uk/news/world-africa-12363852","=HYPERLINK(""http://www.bbc.co.uk/news/world-africa-12363852"",""LINK"")"
MB001,33579362691321856," Maksudnya? RT @PRICIL_ann: @chandwijaya folbek cuts kancuts",
MB001,33573337552654336," Sharp cuts all day! http://yfrog.com/h4sj1bj","=HYPERLINK(""http://yfrog.com/h4sj1bj"",""LINK"")"
MB001,33572338402328576," Asiana does it again!! Recognized as the best onboard service in the world for 7th consecutive years :http://tinyurl.com/4sg8ebn","=HYPERLINK(""http://tinyurl.com/4sg8ebn"",""LINK"")"
MB001,33561524266074112," Like Paper Cuts - Mew #np",
MB001,33557878010814464," What to Do in Case of a denial of service or Distributed Denial of Service Attack: denial of service or Distributed Denial of Service attacks are not less than any nightmare to the world of ... http://bit.ly/gO79Bk","=HYPERLINK(""http://bit.ly/gO79Bk"",""LINK"")"
MB001,33554433757413376," Utah reshuffles staff - http://es.pn/h3JFJr","=HYPERLINK(""http://es.pn/h3JFJr"",""LINK"")"
MB001,33550158423662593," Proud member of the Diablofans.com staff!",
MB001,33537918312120320," BBC News Fire death baby staff disciplined: Two social workers are facing disciplinary action following the deat... http://bbc.in/hHQfze","=HYPERLINK(""http://bbc.in/hHQfze"",""LINK"")"
MB001,33536977986912256," 15:00 BBC News: Only the BBC brings you World News every half hour. http://bbc.in/dZkNLM","=HYPERLINK(""http://bbc.in/dZkNLM"",""LINK"")"
MB001,33528935333498880," BBC offers apology for Top Gear comments on Mexico http://www.bbc.co.uk/news/world-latin-america-12361790 #latism","=HYPERLINK(""http://www.bbc.co.uk/news/world-latin-america-12361790"",""LINK"")"
MB001,33521668504686593," @MtropolisCoffee thanks for the mention![sip staff]",
MB001,33516413096304640," Green Card service that allows people from all over the world submit their details, and have their personal details http://lx.im/1adBD - ad","=HYPERLINK(""http://lx.im/1adBD"",""LINK"")"
MB001,33511356141404160," Lawyers heaven? BBC News - Malawi row over whether new law bans farting http://www.bbc.co.uk/news/world-africa-12363852","=HYPERLINK(""http://www.bbc.co.uk/news/world-africa-12363852"",""LINK"")"
MB001,33503649590280192," @fiannafailparty what harm are cuts if they are all pen pushers,",
MB001,33502424622702592," lEIA: BBC News - Weekly world news quiz http://www.bbc.co.uk/news/world-12241500","=HYPERLINK(""http://www.bbc.co.uk/news/world-12241500"",""LINK"")"
MB001,33501868047089665," Clallam Transit (Wash.) continues to discuss potential service cuts with local community -- http://tinyurl.com/46caknt","=HYPERLINK(""http://tinyurl.com/46caknt"",""LINK"")"
MB001,33501800959053824," Service In Style: Profession Clothing For Hospitality Staff http://dlvr.it/Fnjfg","=HYPERLINK(""http://dlvr.it/Fnjfg"",""LINK"")"
MB001,33486583470489600," Fairs could be at risk due to cuts",
MB001,33480447178575873," Tough cuts 'threaten all our futures': The government's claims that severe spending cuts are necessary to reduce... http://bbc.in/ewaKzF","=HYPERLINK(""http://bbc.in/ewaKzF"",""LINK"")"
MB001,33478500140851200," Mike thanks staff for another incredible year. #powerhour",
MB001,33477450369343490," @MicheChelle pray tell? Very excited yet nervous about unannounced banquets.... Extra lunch staff etc to make sure good service",
MB001,33475775109935104," New Bradford Uni Chemical Engineering course featured on BBC Radio Programme 'Material World'. http://bbc.in/g8y6EA","=HYPERLINK(""http://bbc.in/g8y6EA"",""LINK"")"
MB001,33469985791811584," @Tate_Kandi stop distracting our staff!",
MB001,33464698980540416," ♫ We Have All The Time In The World - by Louis Armstrong #bbc #radio1",
MB001,33456523388649472," Also follow @BBCLyseDoucet @BBCTimWillcox who are presenting BBC World News coverage and tweeting from Cairo #Egypt #jan25",
MB001,33449050292355072," @SaraBareilles great interview on BBC breakfast.",
MB001,33442660542840832," BBC News - Egypt protests: Thousands set for 'day of departure' #egypt #jan25 http://www.bbc.co.uk/news/world-middle-east-12362826","=HYPERLINK(""http://www.bbc.co.uk/news/world-middle-east-12362826"",""LINK"")"
MB001,33439073175605248," Twitter: Marriage woes in Egypt | PRI's The World: .@eric_andersen It was on the BBC some time ago, but here aga... http://bit.ly/gbuzoB","=HYPERLINK(""http://bit.ly/gbuzoB"",""LINK"")"
MB001,33425836497571840," @FIashy like on #BBC #blueplanet #TheDeep",
